"Hatch_Date","New_0.9","New_1","Old_0.9","Old_1"
1930-06-22,0.0236193229787461,0.013405320009885,0.0173629151916534,0.00998320486862712
1930-06-24,0.0493669178098759,0.0263109332073491,0.0327321689947177,0.0185851733483757
1930-06-26,0.0811361106330177,0.0427735701229633,0.0553350817181614,0.0299983622216984
1949-06-16,0.00190877651899482,0.000930011398200374,0.00140264477221606,0.000693480549198925
1949-06-21,0.412862763120014,0.110920650553979,0.162782915715121,0.0302966158905574
1949-06-23,0.550564027037528,0.126718655794029,0.230319080004882,0.0421129272600621
1966-06-21,0.0241406519921649,0.00953875012221652,0.00782999142457954,0.00385419576680507
1966-06-25,0.195303766685979,0.053882519443241,0.0302870212058491,0.0117255585937223
1966-07-02,0.999999996608076,0.999986690340981,0.984150385174464,0.755608314451447
1975-07-02,0.904273620720773,0.603527709936399,0.193946542392897,0.0372223815796215
1975-07-07,0.192451724865336,0.0511072375499424,0.0181194829625987,0.00296066688891211
1975-07-09,0.232742169123937,0.069303720367781,0.0305376179681612,0.0065647328076546
1976-06-21,0.445734049541191,0.157995787862701,0.11185919199793,0.0246972582656086
1980-06-18,0.198734621624017,0.0423011055563655,0.0121217151068751,0.00131242469575397
1980-06-21,0.112020489026775,0.0247439678242798,0.00946685531809752,0.00142838320139142
1980-06-23,0.322176323239062,0.0914920744446301,0.0300657908855533,0.00383074942653842
1980-06-25,0.662910759888394,0.23975491374533,0.0506474440481455,0.0052657636964215
1980-06-27,0.775984699325214,0.299728482272781,0.0886876045275754,0.00846455924164388
1982-06-21,0.999855802454974,0.979608567764495,0.889041996394918,0.456316925877581
1983-06-18,0.0491372958333803,0.0179540589326613,0.0200916719963846,0.00792492504634411
1983-06-21,0.153513366207308,0.0681070997355417,0.0671310148086649,0.0288121942700536
1983-06-23,0.508972660825277,0.250310740864663,0.230422661399981,0.0942528657397287
1983-06-25,0.930473418627441,0.717642810593144,0.673088353544626,0.359508433976291
1983-06-27,0.997714899566732,0.952934626244402,0.91883455729073,0.649913883365023
1985-06-18,0.00716257616561577,0.0014868240443371,0.00113020649605278,0.000599061137729519
1985-06-21,0.0051380601159413,0.00188189215539266,0.00178903286785774,0.00106673860487042
1985-06-23,0.0127283768491609,0.00411097939541471,0.00343678184590655,0.00193531822016376
1985-06-25,0.0340874853705517,0.00890581730544072,0.00595877397993307,0.00307270287929221
1985-06-27,0.0950228125956953,0.017691299984474,0.0105521794229508,0.0045570476369599
1986-06-07,0.122185359084385,0.0327821799495041,0.0246749399284479,0.00587873391348218
1986-06-14,0.999999991230373,0.99998679077201,0.995114193120341,0.895609766568813
1986-06-15,0.99999999995778,0.999999667695789,0.99857868775355,0.934723320064501
1986-06-17,0.999999999479695,0.999992934457923,0.997109591260053,0.921315546186086
1987-06-18,0.455096254875644,0.25915723301493,0.204403901034294,0.100357433582983
1987-06-21,0.501843795122571,0.312238807561243,0.277367808047517,0.153432346306768
1987-06-23,0.592944854965486,0.390851901693579,0.350820405999565,0.203823535219576
1987-06-25,0.746910441483635,0.557714466931078,0.484115605349222,0.315930110691072
1997-07-02,0.926425840370191,0.773718455158784,0.673005326662958,0.425824447188802
2000-06-14,0.0734252047334112,0.00965091288498122,0.00305411142476087,0.000359252337272862
2000-06-21,0.00536146029925512,0.00241124547519891,0.00550294803168559,0.00225168751552391
2011-06-25,1.51497616251048e-05,2.87180897763154e-06,2.65963226165642e-05,4.3057555520125e-06
2011-07-02,0.000514184534440997,0.000105808196581256,0.000404410259666642,7.51933099955766e-05
2011-07-09,0.000741367506635545,0.000190978869849609,0.000835874207029421,0.000194480723420986
2011-07-16,0.0102415914297694,0.00292989688349892,0.00637607836166553,0.00175283607508731
2012-06-21,0.014699892362481,0.00533418692294439,0.0133638909259674,0.00452953476933718
